estado,codigo,descricao,populacao
RO,00015,Alta Floresta D'Oeste,25.578
RO,00379,Alto Alegre dos Parecis,13.940
RO,00403,Alto Paraíso,20.210
RO,00346,Alvorada D'Oeste,17.063
RO,00023,Ariquemes,104.401
RO,00452,Buritis,37.838
RO,00031,Cabixi,6.355
RO,00601,Cacaulândia,6.367
RO,00049,Cacoal,87.226
RO,00700,Campo Novo de Rondônia,14.220
RO,00809,Candeias do Jamari,24.155
RO,00908,Castanheiras,3.617
RO,00056,Cerejeiras,17.986
RO,00924,Chupinguaia,10.129
RO,00064,Colorado do Oeste,18.817
RO,00072,Corumbiara,8.842
RO,00080,Costa Marques,16.651
RO,00940,Cujubim,20.974
RO,00098,Espigão D'Oeste,32.385
RO,01005,Governador Jorge Teixeira,10.127
RO,00106,Guajará-Mirim,46.632
RO,01104,Itapuã do Oeste,9.995
RO,00114,Jaru,55.738
RO,00122,Ji-Paraná,130.419
RO,00130,Machadinho D'Oeste,37.167
RO,01203,Ministro Andreazza,10.823
RO,01302,Mirante da Serra,12.360
RO,01401,Monte Negro,15.873
RO,00148,Nova Brasilândia D'Oeste,21.592
RO,00338,Nova Mamoré,27.600
RO,01435,Nova União,7.824
RO,00502,Novo Horizonte do Oeste,10.276
RO,00155,Ouro Preto do Oeste,39.924
RO,01450,Parecis,5.697
RO,00189,Pimenta Bueno,37.512
RO,01468,Pimenteiras do Oeste,2.424
RO,00205,Porto Velho,502.748
RO,00254,Presidente Médici,22.557
RO,01476,Primavera de Rondônia,3.501
RO,00262,Rio Crespo,3.750
RO,00288,Rolim de Moura,56.242
RO,00296,Santa Luzia D'Oeste,8.532
RO,01484,São Felipe D'Oeste,6.103
RO,01492,São Francisco do Guaporé,19.002
RO,00320,São Miguel do Guaporé,23.933
RO,01500,Seringueiras,12.581
RO,01559,Teixeirópolis,5.003
RO,01609,Theobroma,11.347
RO,01708,Urupá,13.293
RO,01757,Vale do Anari,10.843
RO,01807,Vale do Paraíso,8.231
RO,00304,Vilhena,91.801
AC,00013,Acrelândia,13.869
AC,00054,Assis Brasil,6.738
AC,00104,Brasiléia,23.849
AC,00138,Bujari,9.339
AC,00179,Capixaba,10.498
AC,00203,Cruzeiro do Sul,81.519
AC,00252,Epitaciolândia,16.731
AC,00302,Feijó,32.385
AC,00328,Jordão,7.509
AC,00336,Mâncio Lima,17.173
AC,00344,Manoel Urbano,8.641
AC,00351,Marechal Thaumaturgo,16.895
AC,00385,Plácido de Castro,18.159
AC,00807,Porto Acre,16.757
AC,00393,Porto Walter,10.759
AC,00401,Rio Branco,370.550
AC,00427,Rodrigues Alves,16.974
AC,00435,Santa Rosa do Purus,5.809
AC,00500,Sena Madureira,41.750
AC,00450,Senador Guiomard,21.182
AC,00609,Tarauacá,38.819
AC,00708,Xapuri,17.608
AM,00029,Alvarães,15.545
AM,00060,Amaturá,10.847
AM,00086,Anamã,12.320
AM,00102,Anori,19.292
AM,00144,Apuí,20.648
AM,00201,Atalaia do Norte,18.133
AM,00300,Autazes,37.033
AM,00409,Barcelos,27.433
AM,00508,Barreirinha,30.658
AM,00607,Benjamin Constant,39.484
AM,00631,Beruri,18.171
AM,00680,Boa Vista do Ramos,17.668
AM,00706,Boca do Acre,33.498
AM,00805,Borba,39.292
AM,00839,Caapiranga,12.420
AM,00904,Canutama,15.130
AM,01001,Carauari,27.880
AM,01100,Careiro,36.435
AM,01159,Careiro da Várzea,27.981
AM,01209,Coari,83.078
AM,01308,Codajás,26.777
AM,01407,Eirunepé,34.025
AM,01506,Envira,18.786
AM,01605,Fonte Boa,20.742
AM,01654,Guajará,15.826
AM,01704,Humaitá,51.302
AM,01803,Ipixuna,26.860
AM,01852,Iranduba,45.984
AM,01902,Itacoatiara,97.122
AM,01951,Itamarati,8.179
AM,02009,Itapiranga,8.953
AM,02108,Japurá,5.125
AM,02207,Juruá,13.198
AM,02306,Jutaí,16.585
AM,02405,Lábrea,43.263
AM,02504,Manacapuru,94.175
AM,02553,Manaquiri,28.413
AM,02603,Manaus,2.057.711
AM,02702,Manicoré,53.053
AM,02801,Maraã,18.423
AM,02900,Maués,59.983
AM,03007,Nhamundá,20.358
AM,03106,Nova Olinda do Norte,35.156
AM,03205,Novo Airão,17.671
AM,03304,Novo Aripuanã,24.315
AM,03403,Parintins,111.575
AM,03502,Pauini,19.378
AM,03536,Presidente Figueiredo,32.812
AM,03569,Rio Preto da Eva,30.530
AM,03601,Santa Isabel do Rio Negro,22.404
AM,03700,Santo Antônio do Içá,23.688
AM,03809,São Gabriel da Cachoeira,43.094
AM,03908,São Paulo de Olivença,36.536
AM,03957,São Sebastião do Uatumã,12.781
AM,04005,Silves,9.081
AM,04062,Tabatinga,61.028
AM,04104,Tapauá,18.152
AM,04203,Tefé,62.444
AM,04237,Tonantins,18.478
AM,04260,Uarini,13.121
AM,04302,Urucará,17.163
AM,04401,Urucurituba,21.140
RR,00050,Alto Alegre,16.176
RR,00027,Amajari,11.006
RR,00100,Boa Vista,320.714
RR,00159,Bonfim,11.739
RR,00175,Cantá,16.149
RR,00209,Caracaraí,20.261
RR,00233,Caroebe,9.165
RR,00282,Iracema,10.320
RR,00308,Mucajaí,16.380
RR,00407,Normandia,10.148
RR,00456,Pacaraima,11.908
RR,00472,Rorainópolis,27.288
RR,00506,São João da Baliza,7.516
RR,00605,São Luiz,7.407
RR,00704,Uiramutã,9.488
PA,00107,Abaetetuba,150.431
PA,00131,Abel Figueiredo,7.126
PA,00206,Acará,54.064
PA,00305,Afuá,37.398
PA,00347,Água Azul do Norte,26.305
PA,00404,Alenquer,54.662
PA,00503,Almeirim,33.372
PA,00602,Altamira,108.382
PA,00701,Anajás,27.540
PA,00800,Ananindeua,505.404
PA,00859,Anapu,25.414
PA,00909,Augusto Corrêa,43.700
PA,00958,Aurora do Pará,29.492
PA,01006,Aveiro,15.953
PA,01105,Bagre,28.292
PA,01204,Baião,43.757
PA,01253,Bannach,3.267
PA,01303,Barcarena,115.779
PA,01402,Belém,1.439.561
PA,01451,Belterra,17.036
PA,01501,Benevides,58.637
PA,01576,Bom Jesus do Tocantins,16.227
PA,01600,Bonito,15.282
PA,01709,Bragança,121.528
PA,01725,Brasil Novo,14.984
PA,01758,Brejo Grande do Araguaia,7.232
PA,01782,Breu Branco,61.222
PA,01808,Breves,98.231
PA,01907,Bujaru,27.689
PA,02004,Cachoeira do Arari,22.449
PA,01956,Cachoeira do Piriá,31.300
PA,02103,Cametá,130.868
PA,02152,Canaã dos Carajás,33.632
PA,02202,Capanema,66.353
PA,02301,Capitão Poço,52.693
PA,02400,Castanhal,189.784
PA,02509,Chaves,22.566
PA,02608,Colares,11.682
PA,02707,Conceição do Araguaia,46.395
PA,02756,Concórdia do Pará,31.352
PA,02764,Cumaru do Norte,12.423
PA,02772,Curionópolis,17.709
PA,02806,Curralinho,32.248
PA,02855,Curuá,13.562
PA,02905,Curuçá,37.800
PA,02939,Dom Eliseu,56.398
PA,02954,Eldorado dos Carajás,32.664
PA,03002,Faro,7.333
PA,03044,Floresta do Araguaia,19.261
PA,03077,Garrafão do Norte,25.326
PA,03093,Goianésia do Pará,37.975
PA,03101,Gurupá,31.623
PA,03200,Igarapé-Açu,37.333
PA,03309,Igarapé-Miri,60.343
PA,03408,Inhangapi,11.053
PA,03457,Ipixuna do Pará,58.558
PA,03507,Irituia,31.654
PA,03606,Itaituba,98.446
PA,03705,Itupiranga,51.775
PA,03754,Jacareacanga,41.487(*)
PA,03804,Jacundá,56.006
PA,03903,Juruti,53.989
PA,04000,Limoeiro do Ajuru,27.368
PA,04059,Mãe do Rio,28.959
PA,04109,Magalhães Barata,8.279
PA,04208,Marabá,262.085
PA,04307,Maracanã,28.656
PA,04406,Marapanim,27.368
PA,04422,Marituba,122.916
PA,04455,Medicilândia,29.887
PA,04505,Melgaço,26.397
PA,04604,Mocajuba,29.398
PA,04703,Moju,77.385
PA,04752,Mojuí dos Campos,15.446
PA,04802,Monte Alegre,56.312
PA,04901,Muaná,37.977
PA,04950,Nova Esperança do Piriá,20.663
PA,04976,Nova Ipixuna,15.836
PA,05007,Nova Timboteua,14.635
PA,05031,Novo Progresso,25.135
PA,05064,Novo Repartimento,70.835
PA,05106,Óbidos,50.459
PA,05205,Oeiras do Pará,30.880
PA,05304,Oriximiná,69.024
PA,05403,Ourém,17.114
PA,05437,Ourilândia do Norte,30.776
PA,05486,Pacajá,44.778
PA,05494,Palestina do Pará,7.424
PA,05502,Paragominas,107.010
PA,05536,Parauapebas,189.921
PA,05551,Pau D'Arco,5.535
PA,05601,Peixe-Boi,7.874
PA,05635,Piçarra,12.675
PA,05650,Placas,28.533
PA,05700,Ponta de Pedras,29.160
PA,05809,Portel,58.282
PA,05908,Porto de Moz,38.471
PA,06005,Prainha,29.200
PA,06104,Primavera,10.485
PA,06112,Quatipuru,13.044
PA,06138,Redenção,80.797
PA,06161,Rio Maria,17.738
PA,06187,Rondon do Pará,49.977
PA,06195,Rurópolis,46.804
PA,06203,Salinópolis,39.078
PA,06302,Salvaterra,22.370
PA,06351,Santa Bárbara do Pará,19.645
PA,06401,Santa Cruz do Arari,9.417
PA,06500,Santa Izabel do Pará,66.490
PA,06559,Santa Luzia do Pará,19.383
PA,06583,Santa Maria das Barreiras,19.925
PA,06609,Santa Maria do Pará,23.927
PA,06708,Santana do Araguaia,67.033
PA,06807,Santarém,292.520
PA,06906,Santarém Novo,6.437
PA,07003,Santo Antônio do Tauá,29.629
PA,07102,São Caetano de Odivelas,17.420
PA,07151,São Domingos do Araguaia,24.451
PA,07201,São Domingos do Capim,30.847
PA,07300,São Félix do Xingu,116.186
PA,07409,São Francisco do Pará,15.380
PA,07458,São Geraldo do Araguaia,24.607
PA,07466,São João da Ponta,5.795
PA,07474,São João de Pirabas,21.991
PA,07508,São João do Araguaia,13.521
PA,07607,São Miguel do Guamá,55.942
PA,07706,São Sebastião da Boa Vista,25.161
PA,07755,Sapucaia,5.587
PA,07805,Senador José Porfírio,11.827
PA,07904,Soure,24.286
PA,07953,Tailândia,97.161
PA,07961,Terra Alta,11.120
PA,07979,Terra Santa,17.946
PA,08001,Tomé-Açu,60.456
PA,08035,Tracuateua,29.465
PA,08050,Trairão,18.084
PA,08084,Tucumã,37.308
PA,08100,Tucuruí,107.189
PA,08126,Ulianópolis,53.881
PA,08159,Uruará,44.486
PA,08209,Vigia,51.173
PA,08308,Viseu,59.054
PA,08357,Vitória do Xingu,14.407
PA,08407,Xinguara,42.833
AP,00105,Amapá,8.622
AP,00204,Calçoene,10.163
AP,00212,Cutias,5.407
AP,00238,Ferreira Gomes,6.901
AP,00253,Itaubal,4.949
AP,00279,Laranjal do Jari,45.712
AP,00303,Macapá,456.171
AP,00402,Mazagão,19.571
AP,00501,Oiapoque,24.263
AP,00154,Pedra Branca do Amapari,13.988
AP,00535,Porto Grande,19.669
AP,00550,Pracuúba,4.531
AP,00600,Santana,112.218
AP,00055,Serra do Navio,4.938
AP,00709,Tartarugalzinho,15.212
AP,00808,Vitória do Jari,14.364
TO,00251,Abreulândia,2.539
TO,00301,Aguiarnópolis,6.149
TO,00350,Aliança do Tocantins,5.605
TO,00400,Almas,7.409
TO,00707,Alvorada,8.536
TO,01002,Ananás,9.848
TO,01051,Angico,3.379
TO,01101,Aparecida do Rio Negro,4.618
TO,01309,Aragominas,5.910
TO,01903,Araguacema,6.863
TO,02000,Araguaçu,8.777
TO,02109,Araguaína,170.183
TO,02158,Araguanã,5.515
TO,02208,Araguatins,34.392
TO,02307,Arapoema,6.799
TO,02406,Arraias,10.778
TO,02554,Augustinópolis,17.627
TO,02703,Aurora do Tocantins,3.682
TO,02901,Axixá do Tocantins,9.706
TO,03008,Babaçulândia,10.736
TO,03057,Bandeirantes do Tocantins,3.420
TO,03073,Barra do Ouro,4.460
TO,03107,Barrolândia,5.601
TO,03206,Bernardo Sayão,4.532
TO,03305,Bom Jesus do Tocantins,4.477
TO,03602,Brasilândia do Tocantins,2.177
TO,03701,Brejinho de Nazaré,5.451
TO,03800,Buriti do Tocantins,10.837
TO,03826,Cachoeirinha,2.256
TO,03842,Campos Lindos,9.408
TO,03867,Cariri do Tocantins,4.178
TO,03883,Carmolândia,2.507
TO,03891,Carrasco Bonito,3.983
TO,03909,Caseara,5.119
TO,04105,Centenário,2.803
TO,05102,Chapada da Natividade,3.363
TO,04600,Chapada de Areia,1.397
TO,05508,Colinas do Tocantins,33.981
TO,16703,Colméia,8.522
TO,05557,Combinado,4.851
TO,05607,Conceição do Tocantins,4.209
TO,06001,Couto de Magalhães,5.424
TO,06100,Cristalândia,7.386
TO,06258,Crixás do Tocantins,1.680
TO,06506,Darcinópolis,5.833
TO,07009,Dianópolis,21.167
TO,07108,Divinópolis do Tocantins,6.777
TO,07207,Dois Irmãos do Tocantins,7.302
TO,07306,Dueré,4.722
TO,07405,Esperantina,10.506
TO,07553,Fátima,3.886
TO,07652,Figueirópolis,5.386
TO,07702,Filadélfia,8.848
TO,08205,Formoso do Araguaia,18.742
TO,08254,Fortaleza do Tabocão,2.556
TO,08304,Goianorte,5.135
