A IDEAL CALCADOS LTDA                       ,RUA JUCA LIMIRIO 323 - CENTRO                               ,MG   ,LAGOA FORMOSA         ,34 3824 2012
ABSOLUTA CALCADOS E CONFECCOES LTDA ME      ,R FABIO CARDOSO 466 - PARQUE SAO JORGE I                    ,MG   ,UBERLANDIA            ,34 3235-6832
ACIR DIAS MAGALHAES ME                      ,R LINDORIFO BATISTA 325 - CENTRO                            ,MG   ,BRASILANDIA DE MINAS  ,38 3562-1291
ADAUTO CANDIDO NUNES                        ,REGIS BITTENCOURT 143 L B - CENTRO                          ,MG   ,PERDOES               ,35-9129-6110
ADRIANA CRUZ DE OLIVEIRA NUNES ME           ,DOM PEDRO II 507 509 - CENTRO                               ,MG   ,SAO LOURENCO          ,34 3331-8467
ADRIANA MARIA NEVES ANTUNES &AMP; CIA LTDA M,CANDIDO BRAGA 269 - CENTRO                                  ,MG   ,SAO JOSE DA BARRA     ,35 3523-9288
ADRIANO NEVES REZENDE                       ,RUA FELIPE SAMPAIO 277 - CENTRO                             ,MG   ,PIRAPOCARNEIRINHOSRA  ,38-3743-4847
ADRIANO NEVES REZENDE FILIAL                ,RUA MATO GROSSO 100 A - CENTRO                              ,MG   ,PIRAPORA              ,38-3741-3182
ADRIANO NEVES REZENDE ME                    ,AV MANOEL JOAQUIM DE MELO 491 - CENTRO                      ,MG   ,BURITIZEIRO           ,38-3741-3182/ 3743-4847
ADRIANO NEVES REZENDE ME                    ,R OSCAR CAETANO 1011 A - CENTRO                             ,MG   ,SAO FRANCISCO         ,38 3743-4847
ADRIANO NEVES REZENDE ME                    ,R SALVADOR ROBERTO 1227 - CENTRO                            ,MG   ,VARZEA DA PALMA       ,38 3743-4847
ADRIANO RODRIGUES DE SANTANA ME             ,R OSVALDO SILVA ARAUJO 65 58 LJ 58 - CENTRO                 ,MG   ,INHAPIM               ,33 3315-1078
ALAUICE PEREIRA DE OLIVEIRA                 ,R SAO FRANCISCO 334 - CENTRO                                ,MG   ,MONTES CLAROS         ,38-3222-5713
ALAUICE PEREIRA DE OLIVEIRA EPP             ,RUA DOM PEDRO II 370 LOJA 1 - CENTRO                        ,MG   ,MONTES CLAROS         ,38-3222-5713
ALBERTO MORETTI SOUZA E CIA LTDA ME         ,DOUTOR FRANCISCO SALLES 12 LJ 02 - CENTRO                   ,MG   ,LAVRAS                ,35 3821-2835
ALBINA E BATISTA LTDA - ME                  ,AV RIO GRANDE 1091 - CENTRO                                 ,MG   ,ITURAMA               ,34-3411-6500
ALESSA CALÇADOS LTDA                        ,PCA JK Nº162 - CENTRO                                       ,MG   ,VESPASIANO            ,31 3621 8181
